,nCounts,nFeatures
BC0001_N02,11628,5722
BC0002_N02,31422,9583
BC0005_N01,70483,21321
BC0007_N02,5448,2217
BC0008_N01,63335,19467
BC0009_N01,59868,18042
BC0011_N01,59001,18218
BC0013_N01,54113,16591
BC0014_N01,10429,4343
BC0015_N02,70206,16654
BC0016_N01,55312,16493
BC0017_N01,50887,16238
BC0018_N01,41058,14192
BC0019_N02,46417,14969
BC0020_N02,72394,17185
BC0021_N01,3519,1811
BC0022_N01,41124,14057
BC0024_N02,70452,16260
BC0025_N01,46944,14691
BC0026_N01,41891,13927
BC0027_N01,14921,6364
BC0028_N01,43189,14465
BC0029_N01,42100,14504
BC0030_N01,38915,14136
BC0031_N01,39003,14162
BC0032_N01,44220,14124
BC0033_N01,37436,12750
BC0034_N01,44609,14466
BC0035_N01,41760,13680
BC0038_N02,61484,14153
BC0039_N01,35399,12577
BC0040_N03,77208,17617
BC0041_N03,108558,17362
BC0042_N02,71753,15933
BC0043_N02,39397,12570
BC0044_N01,31203,11601
BC0045_N02,44670,13229
BC0046_N01,38114,12703
BC0047_N02,70915,14699
BC0048_N01,32383,11331
BC0050_N02,75329,15418
BC0051_N01,36993,11854
BC0052_N02,64869,14618
BC0054_N02,62751,13941
BC0055_N01,39297,12913
BC0056_N01,38955,12753
BC0057_N01,35518,12158
BC0058_N04,49784,12454
BC0060_N02,69294,14962
BC0061_N01,39120,13281
BC0063_N01,37711,12690
BC0064_N01,36349,12133
BC0066_N01,37981,13108
BC0067_N03,96320,16076
BC0068_N01,33111,11537
BC0069_N01,34282,11382
BC0070_N01,37947,12936
BC0071_N01,28194,10661
BC0072_N02,36512,11857
BC0073_N01,37410,12543
BC0074_N01,37658,12533
BC0075_N01,36444,11889
BC0076_N01,34449,11943
BC0077_N01,36810,12352
BC0078_N02,55172,12584
BC0080_N01,34331,11587
BC0081_N01,34109,11708
BC0082_N01,34612,11818
BC0083_N02,59566,14064
BC0084_N01,33874,11867
BC0085_N03,70493,13286
