,nCounts,nFeatures
BC04096_N01,1063,778
BC04094_N01,721,569
BC04093_N01,112,103
BC04089_N01,392,314
BC04083_N02,345,284
BC04082_N02,264,241
BC04080_N01,691,580
BC04072_N01,162,148
BC04070_N01,40,36
BC04061_N01,1474,974
BC04054_N01,1349,938
BC04053_N02,1018,750
BC04052_N01,1312,893
BC04048_N03,580,481
BC04047_N02,1063,732
BC04043_N02,824,570
BC04041_N01,543,437
BC04040_N01,1662,1075
BC04038_N05,2190,1346
BC04037_N02,1656,1206
BC04035_N01,435,380
BC04032_N01,596,466
BC04029_N02,242,214
BC04026_N01,667,511
BC04025_N03,1589,987
BC04024_N04,2452,1468
BC04019_N02,1251,822
BC04016_N03,2130,1391
BC04015_N02,1685,1086
BC04013_N02,669,542
BC04012_N01,402,341
BC04008_N01,699,557
BC04006_N01,1552,986
BC04004_N03,1881,1172
BC04002_N04,3036,1880
BC03999_N01,1314,928
BC03995_N03,1851,1122
BC03994_N01,640,503
BC03990_N03,1116,783
BC03987_N03,2214,1373
BC03984_N04,2520,1464
BC03982_N06,3879,2139
BC03979_N01,728,584
BC03978_N04,1031,737
BC03977_N01,2424,1539
BC03976_N02,2777,1682
BC03975_N05,2572,1543
BC03970_N01,1663,1074
BC03969_N11,1597,1047
BC03968_N02,825,627
BC03967_N01,689,532
BC03963_N05,1315,916
BC03962_N04,1612,1100
BC03958_N01,228,188
BC03957_N04,2841,1722
BC03952_N04,3030,1850
BC04058_N01,181,167
BC03948_N05,3084,1611
BC03946_N03,1235,839
BC03945_N03,1851,1190
BC03944_N01,1075,834
BC03943_N06,3466,1876
BC03942_N01,1337,950
BC03941_N01,959,746
BC03940_N05,1362,851
BC03939_N01,939,717
BC03937_N04,1090,762
BC03935_N03,2136,1300
BC03934_N01,717,533
BC03932_N08,2194,1321
BC03931_N01,1514,1010
BC03929_N02,2389,1474
BC03928_N02,842,615
BC03926_N02,2087,1220
BC03922_N05,2723,1596
BC03920_N02,1558,983
BC03919_N04,585,469
BC03918_N02,1281,853
BC03910_N06,2355,1407
BC03907_N02,2959,1769
BC03906_N05,931,690
BC03905_N01,1219,918
BC03904_N03,971,671
BC03903_N01,1603,985
BC03900_N02,4282,2451
BC03899_N01,825,622
BC03898_N04,2724,1628
BC03896_N02,3770,2017
BC03895_N01,81,77
BC03894_N04,1533,988
BC03892_N05,2717,1551
BC03891_N02,3501,1851
BC03890_N02,1715,1184
BC03889_N02,988,639
BC03888_N03,2882,1763
BC03880_N04,2430,1526
BC03878_N02,4315,2443
BC03877_N02,922,659
BC03876_N05,229,191
BC03875_N01,799,562
BC03874_N01,936,709
BC03873_N03,1756,1073
BC03872_N02,2504,1432
BC03869_N03,3290,1775
BC03867_N03,1931,1356
BC03866_N02,1501,1081
BC03865_N01,2879,1656
BC03864_N04,3888,2169
BC03863_N04,2488,1574
BC03862_N02,1219,872
BC03859_N02,782,620
BC03858_N02,1895,1207
BC03857_N05,1087,756
BC03856_N04,3012,1693
BC03855_N02,1628,1051
BC03854_N02,871,705
BC03851_N03,3388,1870
BC03849_N04,1636,1094
BC03848_N01,2810,1836
BC03847_N05,3291,1778
BC03843_N03,2674,1693
BC03841_N02,2337,1538
BC03839_N02,1332,912
BC03838_N02,1954,1266
BC03835_N02,1059,833
BC03833_N04,3101,1690
BC03832_N05,2801,1715
BC03831_N03,3990,2027
BC03829_N05,2380,1476
BC03827_N03,1644,1180
BC03826_N03,2669,1570
BC03822_N04,1750,1177
BC03821_N04,2041,1297
BC03820_N01,2496,1463
BC03818_N02,1149,876
BC03817_N04,1339,928
BC03816_N02,1385,1025
BC03815_N04,1571,1040
BC03812_N02,315,279
BC03811_N05,1397,979
BC03810_N05,2559,1507
BC03808_N02,1433,995
BC03807_N06,2121,1232
BC03806_N04,1746,1203
BC03805_N02,2123,1275
BC03803_N02,2979,1680
BC03802_N06,3222,1885
BC03800_N02,1992,1351
BC03799_N06,2615,1522
BC03992_N01,306,271
BC03798_N01,1577,1107
BC03797_N02,871,665
BC03796_N01,309,280
BC03795_N01,1233,837
BC03793_N06,1358,879
BC03791_N04,2506,1641
BC03790_N05,1761,1183
BC03789_N02,1289,866
BC03788_N02,1939,1187
BC03786_N02,1427,1006
BC03785_N06,1839,1166
BC03784_N06,2124,1389
BC03783_N04,3201,1736
BC03782_N04,2733,1570
BC03781_N01,3722,2004
BC03777_N04,2276,1440
BC03775_N03,1467,997
BC03774_N08,4053,2034
BC03771_N01,341,273
BC03770_N07,3739,1948
BC03765_N05,3252,1939
BC03763_N01,1765,1140
BC03762_N03,1091,626
BC03758_N03,2685,1551
BC03757_N03,2234,1174
BC03756_N01,547,434
BC03755_N03,1369,939
BC03752_N02,364,319
BC03751_N03,926,681
BC03959_N01,1617,1041
BC03749_N04,4697,2494
BC03748_N06,1919,1195
BC03746_N04,1495,1000
BC03745_N03,3593,1993
BC03742_N02,1643,1118
BC03741_N03,3845,1995
BC03739_N05,6296,2806
BC03738_N01,1840,1217
BC03737_N05,3354,1869
BC03764_N02,2377,1451
BC03736_N03,1419,990
BC03734_N02,1393,1010
BC03733_N04,1666,1078
BC03732_N01,1058,754
BC03731_N04,4325,2318
BC03730_N05,3563,2094
BC03727_N03,1602,1057
BC03725_N04,2451,1602
BC03722_N02,1404,953
BC03720_N03,1968,1288
BC03714_N04,2263,1327
BC03713_N05,4827,2294
BC03712_N03,7642,3555
BC03711_N03,4224,2397
BC03710_N02,2993,1877
BC03709_N04,3430,2001
BC03707_N02,1178,860
BC03706_N02,1059,740
BC03704_N04,2134,1348
BC03703_N05,1989,1330
BC03700_N02,795,589
BC03698_N02,1717,1081
BC03696_N01,1157,903
BC03695_N01,799,618
BC03694_N03,1522,991
BC03693_N01,1657,1057
BC03692_N05,2255,1406
BC03690_N02,1713,1110
BC03686_N02,1386,958
BC03683_N04,3200,1756
BC03682_N02,2455,1504
BC03680_N01,3228,1910
BC03679_N05,2748,1632
BC03677_N02,1081,818
BC03675_N03,2453,1341
BC03674_N02,1530,1004
BC03673_N02,1244,914
BC03670_N03,1720,1197
BC03669_N03,2379,1444
BC03666_N04,1429,926
BC03665_N03,3487,2098
BC03663_N06,3825,2075
BC03662_N03,1687,1029
BC03660_N04,2556,1624
BC03659_N01,376,320
BC03656_N04,1775,1120
BC03653_N04,1433,942
BC04017_N01,2382,1335
BC03651_N03,2499,1516
BC03650_N03,1444,970
BC03681_N02,2291,1495
BC03649_N04,1635,1062
BC03648_N01,1499,1054
BC03647_N03,1254,823
BC03645_N01,1905,1238
BC03642_N04,3804,1889
BC03641_N04,1594,1101
BC03640_N01,1623,1129
BC03636_N03,574,428
BC03634_N04,5582,2818
BC03633_N01,1117,778
BC03632_N04,3828,2154
BC03631_N02,1652,1057
BC03630_N03,2398,1403
BC03629_N02,1662,1091
BC03628_N05,3026,1532
BC03627_N05,3189,1765
BC03625_N02,840,635
BC03623_N03,3518,2105
BC03622_N03,554,478
BC03620_N04,4122,2017
BC03619_N03,1312,903
BC03616_N03,1486,981
BC03615_N04,1265,853
BC03614_N01,943,686
BC03611_N02,4917,2484
BC03608_N05,2298,1392
BC03606_N04,2802,1621
BC03604_N05,2796,1634
BC03603_N01,874,648
BC03602_N03,1715,1187
BC03600_N02,377,322
BC03596_N02,3064,1874
BC03594_N04,3053,1735
BC03593_N04,1703,1015
BC03592_N01,129,123
BC03591_N03,1073,783
BC03590_N05,2602,1569
BC03589_N03,4125,2345
BC03587_N02,1520,1087
BC03586_N03,3042,1750
BC03580_N03,3269,1759
BC03578_N03,4008,2000
BC03577_N02,1070,742
BC03576_N04,4306,2275
BC03575_N02,1740,1174
BC03574_N02,1614,1089
BC03571_N02,2712,1617
BC03570_N02,1494,983
BC03687_N03,1891,1210
BC03569_N04,3456,1781
BC03568_N05,3015,1627
BC03567_N01,1049,778
BC03563_N03,2034,1321
BC03562_N02,3172,1753
BC03559_N01,532,473
BC03558_N02,2398,1539
BC03557_N03,371,319
BC03555_N03,2716,1737
BC03550_N02,412,370
BC03549_N04,4420,2362
BC03547_N02,2230,1391
BC03546_N06,3275,1937
BC03540_N01,1387,957
BC03539_N01,927,694
BC03537_N02,720,546
BC03536_N02,3957,2096
BC03534_N04,7250,3396
BC03533_N04,2786,1696
BC03532_N03,4496,2306
BC03530_N05,3324,1942
BC04049_N02,547,450
BC03529_N02,965,688
BC03528_N03,4143,2256
BC03526_N04,2957,1609
BC03525_N03,1684,1138
BC03524_N01,467,401
BC03523_N01,1156,879
BC03521_N02,2923,1707
BC03520_N05,1536,1006
BC03519_N03,3405,1782
BC03518_N03,1584,1097
BC03516_N05,4062,2185
BC03511_N05,2513,1466
BC03510_N08,3114,1860
BC03509_N03,4868,2471
BC03508_N03,2680,1366
BC03507_N03,1013,730
BC03506_N02,1832,1187
BC03505_N03,1636,1104
BC03927_N03,2556,1445
BC03501_N02,2198,1349
BC03499_N01,1415,969
BC03496_N04,3209,1761
BC03495_N05,3393,1877
BC03494_N05,4943,2603
BC03490_N03,2691,1531
BC03489_N04,3520,1900
BC03488_N03,975,722
BC03483_N01,662,518
BC03478_N04,3786,2224
BC03474_N05,4914,2394
BC03473_N02,1258,901
BC03467_N04,1509,961
BC03466_N06,4481,2664
BC03465_N02,994,741
BC03464_N02,1973,1217
BC03461_N02,1360,961
BC03459_N07,6176,2897
BC03457_N02,3624,2056
BC03456_N04,1770,1259
BC03455_N01,1221,892
BC03452_N02,2082,1351
BC03447_N04,1706,1051
BC03446_N02,2039,1403
BC03753_N01,1257,855
BC03444_N03,1064,726
BC03441_N02,3150,1798
BC03438_N01,1104,808
BC03437_N05,3220,1742
BC03836_N04,2826,1569
BC03435_N01,888,676
BC03552_N01,1189,870
BC03434_N05,4392,2060
BC03433_N04,1647,1092
BC03432_N02,2404,1602
BC03429_N02,1266,865
BC03428_N06,3471,1999
BC03426_N03,4944,2673
BC03425_N02,3704,2176
BC03502_N01,863,681
BC03424_N02,2186,1407
BC03423_N02,2843,1766
BC03422_N02,2964,1810
BC03421_N02,2179,1313
BC03420_N01,1630,1093
BC03418_N04,932,661
BC03416_N04,2066,1417
BC03414_N02,3885,2076
BC03412_N04,3607,1876
BC03410_N05,1836,1162
BC03408_N02,2595,1663
BC03407_N05,3816,2282
BC03405_N02,876,618
BC03403_N05,2690,1568
BC03399_N03,2750,1632
BC03398_N04,1814,1085
BC03397_N04,2381,1393
BC03396_N01,1800,1172
BC03390_N02,3341,1891
BC03389_N04,3866,2215
BC03388_N05,4505,2193
BC03386_N02,828,634
BC03385_N03,2020,1300
BC03384_N01,126,100
BC03383_N02,3241,1836
BC03382_N02,2083,1234
BC03381_N01,1967,1253
BC03380_N01,1072,758
BC03379_N03,1768,1113
BC03852_N04,3194,1742
BC03378_N01,649,546
BC03924_N01,1377,1007
BC03376_N02,900,673
BC03375_N02,2444,1461
BC03374_N03,3070,1748
BC03372_N02,2299,1539
BC03371_N01,1537,1004
BC03766_N03,1490,1037
BC03367_N03,2068,1273
BC03365_N02,2684,1470
BC03363_N03,3080,1781
BC03362_N03,3105,1799
BC03358_N02,957,722
BC03357_N03,2747,1754
BC03356_N05,4382,2162
BC03354_N03,1650,1164
BC03828_N01,2025,1156
BC03352_N04,2544,1519
BC03351_N03,3177,1646
BC03348_N05,2496,1528
BC03347_N03,2201,1369
BC03346_N02,1359,903
BC03344_N02,2396,1692
BC03342_N04,2466,1635
BC03337_N02,1013,745
BC03336_N02,2853,1717
BC03335_N04,4964,2293
BC03334_N01,913,767
BC03333_N04,4078,2268
BC03582_N01,947,694
BC03332_N03,1845,1100
BC03971_N01,1806,1178
BC03330_N02,1621,1035
BC03327_N04,2732,1575
BC03325_N03,5341,2860
BC03324_N05,1859,1175
BC03322_N02,2266,1457
BC03320_N04,3445,2017
BC03319_N05,4084,2051
BC03318_N03,1922,1228
BC03317_N02,2195,1394
BC03315_N03,3298,1688
BC03310_N03,3099,1833
BC03309_N01,1228,878
BC03308_N03,2202,1323
BC03307_N01,688,537
BC03306_N04,2272,1470
BC03305_N02,1678,1072
BC03304_N02,4605,2334
BC03302_N01,1143,867
BC03299_N02,2877,1695
BC03296_N02,2426,1417
BC03295_N02,3317,1838
BC03294_N02,3023,1797
