,nCounts,nFeatures
BC04092_N01,496,391
BC04087_N01,86,72
BC04075_N02,1094,705
BC04071_N01,1074,693
BC04069_N01,1393,852
BC04064_N03,321,255
BC04060_N01,650,473
BC04059_N01,388,298
BC04055_N01,300,236
BC04046_N01,1203,769
BC04045_N02,1591,1003
BC04042_N02,1403,864
BC04030_N04,3537,1161
BC04028_N02,1420,872
BC04022_N06,2994,1628
BC04011_N02,112,92
BC04003_N02,227,195
BC04000_N03,1318,915
BC03997_N03,3555,1811
BC03989_N01,564,452
BC03981_N03,1949,1123
BC03980_N04,7989,3159
BC03956_N02,2402,1304
BC03950_N02,1360,784
BC03936_N02,1320,829
BC03923_N06,2160,1098
BC03915_N01,1747,1062
BC03914_N03,3898,1786
BC03913_N01,481,349
BC03912_N03,6987,2441
BC03909_N05,4427,1875
BC03908_N03,1364,853
BC03902_N02,1420,965
BC03901_N02,1292,812
BC03886_N01,1304,814
BC03885_N06,2206,1206
BC03883_N02,496,388
BC03860_N10,3003,1633
BC03850_N02,1807,946
BC03845_N01,1925,1043
BC03844_N01,306,257
BC03837_N01,872,640
BC03834_N04,9268,3104
BC03825_N04,5465,1878
BC03823_N05,3699,1906
BC03804_N01,1195,805
BC03794_N04,3843,1712
BC03787_N04,2235,1240
BC03780_N02,1954,1211
BC03779_N05,1641,1063
BC03778_N03,2820,1513
BC03776_N02,1611,926
BC03773_N04,2734,1330
BC03772_N05,1760,974
BC03768_N03,3385,1500
BC03750_N01,755,561
BC03747_N05,3704,1817
BC03740_N04,3272,1884
BC03735_N03,2096,1165
BC03726_N03,3099,1717
BC03724_N02,1812,991
BC03721_N04,2751,1377
BC03719_N03,1388,818
BC03718_N04,1469,908
BC03717_N02,5649,2258
BC03716_N03,1394,851
BC03715_N02,691,423
BC03708_N02,865,601
BC03701_N05,3000,1589
BC03699_N02,5945,2492
BC03689_N03,2728,1394
BC03688_N09,4888,2098
BC03678_N01,1746,1027
BC03676_N01,588,451
BC03671_N04,2724,1484
BC03668_N02,270,227
BC03667_N03,2469,1313
BC03664_N04,2276,1248
BC03661_N02,1335,840
BC03657_N03,7839,2676
BC03655_N02,873,622
BC03654_N03,1540,827
BC03644_N01,953,659
BC03639_N05,3230,1550
BC03637_N01,1107,749
BC03635_N03,2296,1242
BC03624_N08,3454,1824
BC03621_N02,1719,1076
BC03618_N04,2018,1182
BC03609_N04,4010,1829
BC03601_N04,2868,1357
BC03598_N01,1669,1076
BC03597_N03,4530,1926
BC03588_N03,1146,767
BC03585_N02,1715,955
BC03584_N03,4268,1812
BC03581_N08,1993,1218
BC03579_N02,716,495
BC03573_N04,3616,1700
BC03566_N03,2829,1440
BC03565_N02,1148,767
BC03564_N01,2071,1239
BC03561_N03,609,414
BC03554_N03,2692,1470
BC03553_N02,1992,1196
BC03551_N06,3026,1630
BC03548_N02,1090,521
BC03545_N01,2154,1145
BC03542_N05,2492,1290
BC03972_N03,3116,1618
BC03541_N03,1975,1075
BC03538_N03,3613,1520
BC03531_N02,1979,1161
BC03527_N03,2749,1403
BC03515_N02,2635,1481
BC03514_N03,3004,1562
BC03500_N01,1040,697
BC03498_N03,2034,1109
BC03497_N03,3628,1649
BC03493_N02,3299,1507
BC03491_N02,3372,1695
BC03487_N02,2875,1458
BC03481_N04,4924,2185
BC03480_N06,6245,2480
BC03477_N01,1106,793
BC03475_N01,2660,1336
BC03472_N04,2551,1400
BC03470_N02,3607,1722
BC03468_N01,3189,1602
BC03463_N03,2551,1445
BC03458_N03,3176,1582
BC03454_N02,2663,1291
BC03451_N02,1476,905
BC03449_N01,2578,1599
BC03448_N05,565,410
