,nCounts,nFeatures
BC0003_N01,24712,9651
BC0004_N01,13347,5529
BC0006_N02,16332,5228
BC0010_N02,10187,3102
BC0012_N01,20898,7049
BC0023_N02,46625,10791
BC0037_N02,32304,9182
BC0049_N01,21204,7431
BC0053_N03,40701,8072
BC0059_N01,16522,6590
BC0062_N03,29343,6500
BC0079_N01,16333,6124
BC0091_N01,19596,7350
BC0105_N01,16725,6546
BC0106_N01,21403,7596
BC0110_N02,23997,7106
BC0118_N01,18174,6915
BC0120_N02,2960,1066
BC0122_N01,12479,4922
BC0125_N02,2920,1093
BC0145_N01,19119,6560
BC0147_N01,18696,7057
BC0155_N02,22328,6168
BC0159_N01,8938,3576
BC0162_N02,27451,7344
BC0167_N02,27876,7566
BC0173_N01,17453,6486
BC0174_N01,17648,6588
BC0187_N01,20457,7126
BC0192_N02,22307,6192
BC0200_N02,22649,6394
BC0225_N03,40525,7778
BC0230_N01,17980,6924
BC0241_N01,15436,6082
BC0242_N01,14669,5882
BC0246_N01,17382,6556
BC0267_N03,30422,6924
BC0271_N04,28409,7275
BC0273_N02,29978,7301
BC0277_N02,31080,7591
BC0279_N02,33172,8055
BC0285_N01,16786,6128
BC0288_N01,16454,6195
BC0292_N01,15729,6322
BC0317_N01,11497,4906
BC0320_N01,15587,6094
BC0323_N02,22635,5421
BC0328_N01,11738,5010
BC0330_N02,26675,6823
BC0340_N02,24450,6442
BC0341_N01,16014,5485
BC0345_N02,19044,5482
BC0355_N03,31077,7160
BC0360_N02,9281,3075
BC0371_N01,12320,4987
BC0375_N02,19904,5536
BC0381_N02,29837,7717
BC0388_N01,13581,5240
BC0395_N01,14227,5698
BC0399_N01,13196,5218
BC0404_N01,10318,3969
BC0424_N01,12134,4398
BC0437_N01,13472,5015
BC0440_N01,11852,4998
BC0444_N01,11004,4710
BC0447_N01,14589,5528
BC0461_N01,15429,5535
BC0465_N03,39928,7878
BC0466_N01,10184,4386
BC0468_N03,22899,5040
BC0472_N01,12470,5224
BC0479_N01,1321,692
BC0487_N02,19106,5408
BC0492_N02,24212,6484
BC0495_N01,5953,2822
BC0511_N01,13234,5134
BC0518_N01,13583,4652
BC0521_N01,13085,5211
BC0527_N01,16556,6060
BC0538_N01,12372,4825
BC0539_N01,12422,5008
BC0542_N01,16188,5905
BC0551_N02,21568,6022
BC0552_N01,5973,2881
BC0553_N01,13111,5247
BC0576_N01,13081,5076
BC0577_N01,10013,4368
BC0579_N02,17992,5475
BC0582_N01,13230,5167
BC0583_N01,12944,5107
BC0586_N01,12193,4334
BC0591_N01,15194,5714
BC0596_N01,11168,4532
BC0597_N01,12886,5033
BC0601_N03,32191,6921
BC0603_N02,20441,5719
BC0609_N01,14070,5245
BC0610_N04,32275,6785
BC0614_N01,11586,4699
BC0620_N02,20870,5425
BC0621_N01,13915,5442
BC0627_N01,12050,4787
BC0636_N01,13435,5158
BC0639_N01,13684,5237
BC0643_N01,12814,4856
BC0646_N01,13228,5220
BC0649_N01,11815,4792
BC0650_N02,26128,6696
BC0651_N01,14853,5554
BC0652_N01,12509,4932
BC0663_N01,11453,4542
BC0664_N01,14214,5504
BC0674_N02,20685,5802
BC0679_N02,16684,4949
BC0697_N02,17277,5019
BC0701_N03,36328,7749
BC0702_N02,19937,5129
BC0713_N03,27117,6519
BC0721_N03,22393,4746
BC0739_N01,12260,4938
BC0749_N01,13256,5018
BC0750_N01,11337,4239
BC0752_N01,11696,4671
BC0754_N01,11728,4765
BC0756_N02,22620,5573
BC0763_N03,26922,6079
BC0764_N02,21236,5954
BC0771_N01,11817,4638
